"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","CNODE3",,,,"User:","attodev"
"Cmdline:","dstat -tcmndrylpg --output /opt/stack/logs/dstat-csv.log",,,,"Date:","07 Mar 2017 19:12:13 KST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",
07-03 19:12:35,8.020,0.585,91.395,0.0,0.0,0.0,1166004224.0,144642048.0,2482360320.0,63732641792.0,0.0,0.0,0.0,23617536.0,0.0,244.0,919.0,4205.0,0.510,0.430,0.340,1.0,0.0,4.0,0.0,0.0
07-03 19:12:36,8.229,0.333,91.355,0.083,0.0,0.0,1174122496.0,144646144.0,2482364416.0,63724515328.0,1180.0,0.0,0.0,0.0,0.0,1.0,564.0,1692.0,0.510,0.430,0.340,1.0,1.0,2.0,0.0,0.0
07-03 19:12:37,7.750,0.833,91.333,0.0,0.0,0.083,1227706368.0,144658432.0,2482397184.0,63670886400.0,0.0,0.0,0.0,1318912.0,0.0,5.0,759.0,4806.0,0.510,0.430,0.340,1.0,0.0,4.0,0.0,0.0
07-03 19:12:38,8.410,0.167,91.424,0.0,0.0,0.0,1235677184.0,144658432.0,2482503680.0,63662809088.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,2005.0,0.510,0.430,0.340,1.0,0.0,2.0,0.0,0.0
07-03 19:12:39,7.846,0.668,91.402,0.083,0.0,0.0,1288818688.0,144666624.0,2482511872.0,63609651200.0,2360.0,0.0,0.0,32768.0,0.0,3.0,975.0,14501.0,0.510,0.430,0.340,1.0,0.0,7.0,0.0,0.0
07-03 19:12:40,8.340,0.167,91.493,0.0,0.0,0.0,1296744448.0,144666624.0,2482618368.0,63601618944.0,60.0,0.0,0.0,40960.0,0.0,10.0,620.0,3069.0,0.550,0.440,0.340,1.0,0.0,2.0,0.0,0.0
07-03 19:12:41,8.013,0.584,91.319,0.083,0.0,0.0,1292881920.0,144678912.0,2482622464.0,63605465088.0,198.0,642.0,0.0,1519616.0,0.0,39.0,668.0,13041.0,0.550,0.440,0.340,1.0,0.0,11.0,0.0,0.0
07-03 19:12:42,8.236,0.416,91.265,0.083,0.0,0.0,1319309312.0,144691200.0,2482634752.0,63579013120.0,2950.0,0.0,0.0,61440.0,0.0,6.0,710.0,2520.0,0.550,0.440,0.340,1.0,0.0,2.0,0.0,0.0
07-03 19:12:43,8.013,0.501,91.486,0.0,0.0,0.0,1361768448.0,144691200.0,2482737152.0,63536451584.0,590.0,0.0,0.0,0.0,0.0,0.0,688.0,4496.0,0.550,0.440,0.340,1.0,0.0,6.0,0.0,0.0
07-03 19:12:44,8.167,0.417,91.417,0.0,0.0,0.0,1342767104.0,144691200.0,2482753536.0,63555436544.0,0.0,840.0,0.0,0.0,0.0,0.0,557.0,3223.0,0.550,0.440,0.340,1.0,0.0,8.0,0.0,0.0
07-03 19:12:45,8.333,0.250,91.333,0.083,0.0,0.0,1373646848.0,144699392.0,2482753536.0,63524548608.0,2448.0,0.0,0.0,1245184.0,0.0,77.0,779.0,2063.0,0.590,0.450,0.350,1.0,0.0,4.0,0.0,0.0
07-03 19:12:46,8.090,0.500,91.410,0.0,0.0,0.0,1383673856.0,144703488.0,2482778112.0,63514492928.0,2888.0,1872.0,0.0,32768.0,0.0,3.0,745.0,2337.0,0.590,0.450,0.350,1.0,0.0,24.0,0.0,0.0
07-03 19:12:47,8.013,0.501,91.402,0.083,0.0,0.0,1379147776.0,144719872.0,2482798592.0,63518982144.0,540.0,754.0,0.0,69632.0,0.0,6.0,734.0,3581.0,0.590,0.450,0.350,1.0,0.0,11.0,0.0,0.0
07-03 19:12:48,7.917,0.667,91.250,0.167,0.0,0.0,1385013248.0,144732160.0,2482831360.0,63513071616.0,920.0,1166.0,0.0,98304.0,0.0,9.0,750.0,2680.0,0.590,0.450,0.350,1.0,0.0,18.0,0.0,0.0
07-03 19:12:49,7.923,0.667,91.410,0.0,0.0,0.0,1381937152.0,144740352.0,2482855936.0,63516114944.0,3610.0,2204.0,0.0,90112.0,0.0,6.0,803.0,3511.0,0.590,0.450,0.350,1.0,0.0,30.0,0.0,0.0
07-03 19:12:50,7.987,0.499,91.265,0.166,0.0,0.083,1382940672.0,144760832.0,2482864128.0,63515082752.0,732.0,1126.0,0.0,253952.0,0.0,41.0,772.0,2694.0,0.620,0.460,0.350,1.0,0.0,16.0,0.0,0.0
07-03 19:12:51,8.013,0.417,91.402,0.167,0.0,0.0,1383321600.0,144781312.0,2482868224.0,63514677248.0,986.0,1236.0,0.0,1429504.0,0.0,51.0,812.0,3117.0,0.620,0.460,0.350,1.0,0.0,16.0,0.0,0.0
07-03 19:12:52,8.007,0.417,91.410,0.167,0.0,0.0,1383215104.0,144805888.0,2482888704.0,63514738688.0,2232.0,1426.0,0.0,81920.0,0.0,9.0,741.0,2738.0,0.620,0.460,0.350,1.0,0.0,19.0,0.0,0.0
07-03 19:12:53,8.013,0.501,91.486,0.0,0.0,0.0,1380343808.0,144830464.0,2482896896.0,63517577216.0,462.0,1498.0,0.0,86016.0,0.0,9.0,745.0,2210.0,0.620,0.460,0.350,1.0,0.0,21.0,0.0,0.0
07-03 19:12:54,7.827,0.583,91.257,0.250,0.0,0.083,1380536320.0,144859136.0,2482909184.0,63517343744.0,1130.0,1824.0,0.0,159744.0,0.0,21.0,794.0,2442.0,0.620,0.460,0.350,1.0,0.0,21.0,0.0,0.0
07-03 19:12:55,7.750,0.750,91.417,0.083,0.0,0.0,1380880384.0,144867328.0,2482933760.0,63516966912.0,1112.0,1530.0,0.0,516096.0,0.0,10.0,746.0,2582.0,0.650,0.470,0.350,1.0,0.0,21.0,0.0,0.0
07-03 19:12:56,7.923,0.584,91.410,0.083,0.0,0.0,1381212160.0,144887808.0,2482946048.0,63516602368.0,1184.0,1990.0,0.0,98304.0,0.0,9.0,774.0,2590.0,0.650,0.470,0.350,1.0,0.0,25.0,0.0,0.0
07-03 19:12:57,8.083,0.583,91.250,0.083,0.0,0.0,1382739968.0,144904192.0,2482962432.0,63515041792.0,1316.0,2410.0,0.0,90112.0,0.0,9.0,800.0,3055.0,0.650,0.470,0.350,1.0,0.0,28.0,0.0,0.0
07-03 19:12:58,8.077,0.500,91.257,0.083,0.0,0.083,1379332096.0,144904192.0,2482982912.0,63518429184.0,198.0,714.0,0.0,69632.0,0.0,6.0,704.0,2671.0,0.650,0.470,0.350,1.0,0.0,11.0,0.0,0.0
07-03 19:12:59,7.930,0.584,91.402,0.083,0.0,0.0,1383813120.0,144908288.0,2483011584.0,63513915392.0,1444.0,1032.0,0.0,106496.0,0.0,9.0,750.0,3146.0,0.650,0.470,0.350,1.0,0.0,20.0,0.0,0.0
07-03 19:13:00,7.917,0.667,91.333,0.083,0.0,0.0,1386266624.0,144912384.0,2483036160.0,63511433216.0,650.0,4448.0,0.0,2838528.0,0.0,130.0,868.0,3255.0,0.680,0.480,0.360,1.0,0.0,38.0,0.0,0.0
07-03 19:13:01,7.756,0.667,91.326,0.167,0.0,0.083,1379672064.0,144936960.0,2483048448.0,63517990912.0,1002.0,714.0,0.0,2220032.0,0.0,57.0,783.0,2765.0,0.680,0.480,0.360,1.0,0.0,11.0,0.0,0.0
07-03 19:13:02,7.763,0.751,91.402,0.083,0.0,0.0,1386020864.0,144945152.0,2483089408.0,63511592960.0,1378.0,930.0,0.0,86016.0,0.0,9.0,729.0,3737.0,0.680,0.480,0.360,1.0,0.0,18.0,0.0,0.0
07-03 19:13:03,8.160,0.500,91.257,0.083,0.0,0.0,1378582528.0,144957440.0,2483093504.0,63519014912.0,1448.0,3086.0,0.0,61440.0,0.0,6.0,807.0,3054.0,0.680,0.480,0.360,1.0,0.0,36.0,0.0,0.0
07-03 19:13:04,7.833,0.750,91.333,0.083,0.0,0.0,1371103232.0,144957440.0,2483113984.0,63526473728.0,300.0,780.0,0.0,73728.0,0.0,6.0,722.0,3195.0,0.680,0.480,0.360,1.0,0.0,9.0,0.0,0.0
07-03 19:13:05,7.840,0.584,91.410,0.083,0.0,0.083,1375821824.0,144961536.0,2483130368.0,63521734656.0,650.0,1324.0,0.0,200704.0,0.0,20.0,733.0,2749.0,0.710,0.490,0.360,1.0,0.0,18.0,0.0,0.0
07-03 19:13:06,8.0,0.583,91.333,0.083,0.0,0.0,1375375360.0,144965632.0,2483154944.0,63522152448.0,1922.0,3196.0,0.0,65536.0,0.0,6.0,812.0,3049.0,0.710,0.490,0.360,1.0,0.0,38.0,0.0,0.0
07-03 19:13:07,7.846,0.584,91.486,0.083,0.0,0.0,1371049984.0,144973824.0,2483175424.0,63526449152.0,198.0,714.0,0.0,61440.0,0.0,6.0,737.0,3300.0,0.710,0.490,0.360,1.0,0.0,11.0,0.0,0.0
07-03 19:13:08,7.923,0.584,91.410,0.083,0.0,0.0,1377026048.0,144977920.0,2483208192.0,63520436224.0,2178.0,1324.0,0.0,98304.0,0.0,9.0,743.0,2540.0,0.710,0.490,0.360,1.0,0.0,18.0,0.0,0.0
07-03 19:13:09,7.910,0.749,91.257,0.083,0.0,0.0,1377693696.0,144977920.0,2483236864.0,63519739904.0,1316.0,2410.0,0.0,61440.0,0.0,6.0,762.0,3806.0,0.710,0.490,0.360,1.0,0.0,33.0,0.0,0.0
07-03 19:13:10,7.987,0.666,91.265,0.083,0.0,0.0,1377251328.0,144990208.0,2483245056.0,63520161792.0,732.0,2324.0,0.0,126976.0,0.0,11.0,757.0,2830.0,0.650,0.480,0.360,1.0,0.0,25.0,0.0,0.0
07-03 19:13:11,8.020,0.501,91.312,0.167,0.0,0.0,1380098048.0,145002496.0,2483265536.0,63517282304.0,1250.0,2308.0,0.0,2248704.0,0.0,56.0,861.0,3519.0,0.650,0.480,0.360,1.0,0.0,28.0,0.0,0.0
07-03 19:13:12,8.007,0.500,91.410,0.083,0.0,0.0,1371017216.0,145002496.0,2483290112.0,63526338560.0,3226.0,1032.0,0.0,57344.0,0.0,6.0,739.0,2953.0,0.650,0.480,0.360,1.0,0.0,11.0,0.0,0.0
07-03 19:13:13,7.840,0.667,91.326,0.083,0.0,0.083,1375547392.0,145002496.0,2483306496.0,63521792000.0,342.0,1170.0,0.0,90112.0,0.0,9.0,715.0,2673.0,0.650,0.480,0.360,1.0,0.0,18.0,0.0,0.0
07-03 19:13:14,7.987,0.666,91.265,0.083,0.0,0.0,1394720768.0,145014784.0,2483322880.0,63502589952.0,920.0,0.0,0.0,69632.0,0.0,6.0,711.0,2676.0,0.650,0.480,0.360,1.0,0.0,4.0,0.0,0.0
07-03 19:13:15,8.090,0.500,91.410,0.0,0.0,0.0,1394688000.0,145014784.0,2483363840.0,63502581760.0,3736.0,2990.0,0.0,28672.0,0.0,2.0,788.0,2191.0,0.680,0.490,0.360,1.0,0.0,38.0,0.0,0.0
07-03 19:13:16,8.077,0.583,91.174,0.083,0.0,0.083,1384706048.0,145022976.0,2483380224.0,63512539136.0,788.0,714.0,0.0,73728.0,0.0,6.0,726.0,2781.0,0.680,0.490,0.360,1.0,0.0,11.0,0.0,0.0
07-03 19:13:17,8.007,0.417,91.493,0.083,0.0,0.0,1388728320.0,145027072.0,2483408896.0,63508484096.0,1130.0,930.0,0.0,94208.0,0.0,9.0,755.0,3054.0,0.680,0.490,0.360,1.0,0.0,18.0,0.0,0.0
07-03 19:13:18,7.840,0.751,91.326,0.083,0.0,0.0,1389432832.0,145031168.0,2483437568.0,63507746816.0,3086.0,3026.0,0.0,61440.0,0.0,6.0,784.0,2837.0,0.680,0.490,0.360,1.0,0.0,38.0,0.0,0.0
07-03 19:13:19,7.930,0.584,91.402,0.0,0.0,0.083,1384562688.0,145039360.0,2483453952.0,63512592384.0,788.0,714.0,0.0,69632.0,0.0,6.0,768.0,2816.0,0.680,0.490,0.360,1.0,0.0,13.0,0.0,0.0
07-03 19:13:20,7.756,0.667,91.410,0.167,0.0,0.0,1392631808.0,145047552.0,2483478528.0,63504490496.0,1190.0,930.0,0.0,110592.0,0.0,11.0,782.0,2622.0,0.700,0.500,0.370,1.0,0.0,18.0,0.0,0.0
07-03 19:13:21,8.007,0.584,91.243,0.167,0.0,0.0,1389572096.0,145072128.0,2483490816.0,63507513344.0,1906.0,2606.0,0.0,1662976.0,0.0,49.0,854.0,3078.0,0.700,0.500,0.370,1.0,0.0,33.0,0.0,0.0
07-03 19:13:22,8.013,0.417,91.486,0.083,0.0,0.0,1388949504.0,145072128.0,2483523584.0,63508103168.0,1118.0,1776.0,0.0,90112.0,0.0,9.0,772.0,2652.0,0.700,0.500,0.370,1.0,0.0,23.0,0.0,0.0
07-03 19:13:23,7.846,0.501,91.486,0.083,0.0,0.083,1381064704.0,145072128.0,2483539968.0,63515971584.0,986.0,1492.0,0.0,98304.0,0.0,9.0,774.0,2773.0,0.700,0.500,0.370,1.0,0.0,17.0,0.0,0.0
07-03 19:13:24,7.840,0.751,91.326,0.083,0.0,0.0,1381617664.0,145072128.0,2483560448.0,63515398144.0,198.0,730.0,0.0,69632.0,0.0,6.0,768.0,3101.0,0.700,0.500,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:25,7.750,0.667,91.417,0.083,0.0,0.083,1381031936.0,145084416.0,2483589120.0,63515942912.0,1306.0,310.0,0.0,122880.0,0.0,11.0,749.0,2517.0,0.730,0.510,0.370,1.0,0.0,7.0,0.0,0.0
07-03 19:13:26,7.923,0.584,91.410,0.083,0.0,0.0,1372954624.0,145092608.0,2483585024.0,63524016128.0,330.0,1350.0,0.0,61440.0,0.0,6.0,744.0,2775.0,0.730,0.510,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:27,7.917,0.500,91.417,0.083,0.0,0.083,1371435008.0,145096704.0,2483601408.0,63525515264.0,986.0,1580.0,0.0,61440.0,0.0,6.0,757.0,2943.0,0.730,0.510,0.370,1.0,0.0,17.0,0.0,0.0
07-03 19:13:28,8.077,0.500,91.341,0.083,0.0,0.0,1370832896.0,145108992.0,2483617792.0,63526088704.0,1378.0,730.0,0.0,65536.0,0.0,6.0,734.0,2712.0,0.730,0.510,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:29,7.930,0.584,91.402,0.083,0.0,0.0,1366421504.0,145121280.0,2483646464.0,63530459136.0,0.0,0.0,0.0,94208.0,0.0,9.0,724.0,4143.0,0.730,0.510,0.370,1.0,0.0,7.0,0.0,0.0
07-03 19:13:30,8.013,0.417,91.569,0.0,0.0,0.0,1390206976.0,145125376.0,2483679232.0,63506636800.0,716.0,310.0,0.0,372736.0,0.0,6.0,699.0,2486.0,0.670,0.500,0.370,1.0,0.0,6.0,0.0,0.0
07-03 19:13:31,7.840,0.834,91.159,0.167,0.0,0.0,1387896832.0,145154048.0,2483691520.0,63508905984.0,920.0,1350.0,0.0,1859584.0,0.0,47.0,809.0,2374.0,0.670,0.500,0.370,1.0,0.0,15.0,0.0,0.0
07-03 19:13:32,7.750,0.750,91.417,0.083,0.0,0.0,1382031360.0,145154048.0,2483732480.0,63514730496.0,1064.0,1890.0,0.0,57344.0,0.0,6.0,727.0,2907.0,0.670,0.500,0.370,1.0,0.0,17.0,0.0,0.0
07-03 19:13:33,7.840,0.667,91.410,0.083,0.0,0.0,1382584320.0,145158144.0,2483748864.0,63514157056.0,788.0,730.0,0.0,61440.0,0.0,6.0,755.0,2576.0,0.670,0.500,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:34,7.756,0.667,91.410,0.083,0.0,0.083,1382023168.0,145166336.0,2483777536.0,63514681344.0,66.0,310.0,0.0,102400.0,0.0,9.0,722.0,2705.0,0.670,0.500,0.370,1.0,0.0,7.0,0.0,0.0
07-03 19:13:35,7.923,0.584,91.410,0.083,0.0,0.0,1379573760.0,145174528.0,2483777536.0,63517122560.0,2098.0,2806.0,0.0,577536.0,0.0,26.0,817.0,2492.0,0.620,0.490,0.370,1.0,0.0,27.0,0.0,0.0
07-03 19:13:36,7.763,0.668,91.486,0.083,0.0,0.0,1378140160.0,145182720.0,2483793920.0,63518531584.0,738.0,2386.0,0.0,98304.0,0.0,9.0,764.0,2898.0,0.620,0.490,0.370,1.0,0.0,28.0,0.0,0.0
07-03 19:13:37,7.930,0.584,91.486,0.0,0.0,0.0,1372213248.0,145190912.0,2483810304.0,63524433920.0,788.0,666.0,0.0,61440.0,0.0,6.0,716.0,2922.0,0.620,0.490,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:38,7.923,0.500,91.410,0.083,0.0,0.083,1391480832.0,145190912.0,2483847168.0,63505129472.0,1770.0,0.0,0.0,102400.0,0.0,9.0,726.0,2587.0,0.620,0.490,0.370,1.0,0.0,4.0,0.0,0.0
07-03 19:13:39,8.0,0.500,91.333,0.083,0.0,0.083,1394995200.0,145199104.0,2483875840.0,63501578240.0,264.0,984.0,0.0,61440.0,0.0,6.0,745.0,3555.0,0.620,0.490,0.370,1.0,0.0,20.0,0.0,0.0
07-03 19:13:40,7.756,0.667,91.493,0.083,0.0,0.0,1394823168.0,145207296.0,2483904512.0,63501713408.0,1316.0,2714.0,0.0,69632.0,0.0,6.0,793.0,2627.0,0.570,0.480,0.360,1.0,0.0,34.0,0.0,0.0
07-03 19:13:41,8.264,0.250,91.402,0.083,0.0,0.0,1394130944.0,145207296.0,2483937280.0,63502372864.0,3016.0,302.0,0.0,1032192.0,0.0,8.0,755.0,2170.0,0.570,0.480,0.360,1.0,1.0,7.0,0.0,0.0
07-03 19:13:42,7.930,0.668,91.152,0.250,0.0,0.0,1397116928.0,145223680.0,2483945472.0,63499362304.0,462.0,1866.0,0.0,1163264.0,0.0,58.0,813.0,3715.0,0.570,0.480,0.360,1.0,0.0,21.0,0.0,0.0
07-03 19:13:43,7.910,0.583,91.424,0.083,0.0,0.0,1396277248.0,145227776.0,2483965952.0,63500177408.0,1190.0,746.0,0.0,61440.0,0.0,6.0,761.0,2810.0,0.570,0.480,0.360,1.0,0.0,12.0,0.0,0.0
07-03 19:13:44,8.083,0.500,91.333,0.083,0.0,0.0,1392590848.0,145231872.0,2483994624.0,63503831040.0,3346.0,1516.0,0.0,94208.0,0.0,9.0,775.0,3519.0,0.570,0.480,0.360,1.0,0.0,17.0,0.0,0.0
07-03 19:13:45,8.083,0.583,91.333,0.0,0.0,0.0,1393532928.0,145231872.0,2484023296.0,63502860288.0,788.0,730.0,0.0,0.0,0.0,0.0,716.0,2026.0,0.600,0.490,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:46,7.833,0.583,91.417,0.167,0.0,0.0,1389621248.0,145235968.0,2484043776.0,63506747392.0,1340.0,1644.0,0.0,98304.0,0.0,9.0,745.0,2983.0,0.600,0.490,0.370,1.0,0.0,15.0,0.0,0.0
07-03 19:13:47,7.937,0.501,91.562,0.0,0.0,0.0,1385762816.0,145244160.0,2484080640.0,63510560768.0,1968.0,738.0,0.0,73728.0,0.0,6.0,753.0,3621.0,0.600,0.490,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:48,8.153,0.416,91.265,0.166,0.0,0.0,1387888640.0,145264640.0,2484105216.0,63508389888.0,1636.0,1476.0,0.0,94208.0,0.0,9.0,746.0,2818.0,0.600,0.490,0.370,2.0,0.0,18.0,0.0,0.0
07-03 19:13:49,8.027,0.502,91.472,0.0,0.0,0.0,1386987520.0,145272832.0,2484121600.0,63509266432.0,998.0,278.0,0.0,69632.0,0.0,6.0,729.0,3786.0,0.600,0.490,0.370,1.0,0.0,9.0,0.0,0.0
07-03 19:13:50,7.917,0.500,91.417,0.167,0.0,0.0,1385623552.0,145281024.0,2484129792.0,63510614016.0,1052.0,1850.0,0.0,126976.0,0.0,10.0,748.0,2175.0,0.630,0.500,0.370,2.0,0.0,20.0,0.0,0.0
07-03 19:13:51,8.090,0.417,91.493,0.0,0.0,0.0,1381224448.0,145293312.0,2484137984.0,63514992640.0,1456.0,1056.0,0.0,69632.0,0.0,6.0,733.0,2724.0,0.630,0.500,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:52,8.097,0.417,91.235,0.167,0.0,0.083,1379246080.0,145305600.0,2484170752.0,63516925952.0,986.0,1500.0,0.0,1822720.0,0.0,51.0,825.0,3536.0,0.630,0.500,0.370,1.0,0.0,15.0,0.0,0.0
07-03 19:13:53,8.007,0.417,91.493,0.083,0.0,0.0,1378283520.0,145305600.0,2484187136.0,63517872128.0,258.0,730.0,0.0,69632.0,0.0,6.0,744.0,2752.0,0.630,0.500,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:54,7.923,0.584,91.410,0.083,0.0,0.0,1373462528.0,145313792.0,2484203520.0,63522668544.0,1576.0,1444.0,0.0,98304.0,0.0,9.0,739.0,3617.0,0.630,0.500,0.370,1.0,0.0,15.0,0.0,0.0
07-03 19:13:55,8.007,0.500,91.410,0.083,0.0,0.0,1395884032.0,145321984.0,2484240384.0,63500201984.0,0.0,0.0,0.0,49152.0,0.0,5.0,672.0,1947.0,0.660,0.510,0.370,1.0,0.0,4.0,0.0,0.0
07-03 19:13:56,8.160,0.500,91.341,0.0,0.0,0.0,1394262016.0,145326080.0,2484273152.0,63501787136.0,788.0,730.0,0.0,32768.0,0.0,3.0,730.0,2105.0,0.660,0.510,0.370,1.0,0.0,11.0,0.0,0.0
07-03 19:13:57,7.429,1.002,91.402,0.083,0.0,0.083,1396129792.0,145338368.0,2484297728.0,63499882496.0,1910.0,4240.0,0.0,102400.0,0.0,9.0,880.0,4218.0,0.660,0.510,0.370,1.0,0.0,99.0,0.0,0.0
